"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 08:12:37 GMT 2021","Wed Aug 11 08:12:46 GMT 2021","9351","test","test_main","TestConduit","","","test__delete_article",""
"passed","Wed Aug 11 08:11:37 GMT 2021","Wed Aug 11 08:11:39 GMT 2021","2079","test","test_main","TestConduit","","","test__accepting_cookies",""
"broken","Wed Aug 11 08:11:56 GMT 2021","Wed Aug 11 08:12:04 GMT 2021","7338","test","test_main","TestConduit","","","test__login",""
"passed","Wed Aug 11 08:11:36 GMT 2021","Wed Aug 11 08:11:36 GMT 2021","27","test","test_main","TestConduit","","","test__page_load",""
"passed","Wed Aug 11 08:11:42 GMT 2021","Wed Aug 11 08:11:53 GMT 2021","11175","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 08:12:25 GMT 2021","Wed Aug 11 08:12:34 GMT 2021","9358","test","test_main","TestConduit","","","test__editing_article",""
"broken","Wed Aug 11 08:12:18 GMT 2021","Wed Aug 11 08:12:22 GMT 2021","4225","test","test_main","TestConduit","","","test__repeated_article_creation",""
"broken","Wed Aug 11 08:13:13 GMT 2021","Wed Aug 11 08:13:23 GMT 2021","9387","test","test_main","TestConduit","","","test__pagination",""
"broken","Wed Aug 11 08:12:49 GMT 2021","Wed Aug 11 08:12:58 GMT 2021","9339","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 08:12:05 GMT 2021","Wed Aug 11 08:12:15 GMT 2021","9351","test","test_main","TestConduit","","","test__create_article",""
"broken","Wed Aug 11 08:13:26 GMT 2021","Wed Aug 11 08:13:35 GMT 2021","9369","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 08:13:01 GMT 2021","Wed Aug 11 08:13:10 GMT 2021","9348","test","test_main","TestConduit","","","test__list_articles",""
