"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 10:41:54 GMT 2021","Thu Aug 12 10:42:09 GMT 2021","14554","test","test_main","TestConduit","","","test__pagination",""
"passed","Thu Aug 12 10:38:57 GMT 2021","Thu Aug 12 10:39:18 GMT 2021","20962","test","test_main","TestConduit","","","test__create_article",""
"passed","Thu Aug 12 10:41:13 GMT 2021","Thu Aug 12 10:41:34 GMT 2021","21068","test","test_main","TestConduit","","","test__save_to_file",""
"passed","Thu Aug 12 10:38:26 GMT 2021","Thu Aug 12 10:38:40 GMT 2021","14200","test","test_main","TestConduit","","","test__registration",""
"passed","Thu Aug 12 10:38:19 GMT 2021","Thu Aug 12 10:38:19 GMT 2021","43","test","test_main","TestConduit","","","test__page_load",""
"passed","Thu Aug 12 10:42:12 GMT 2021","Thu Aug 12 10:42:26 GMT 2021","14517","test","test_main","TestConduit","","","test__logout",""
"passed","Thu Aug 12 10:38:43 GMT 2021","Thu Aug 12 10:38:55 GMT 2021","11408","test","test_main","TestConduit","","","test__login",""
"passed","Thu Aug 12 10:39:21 GMT 2021","Thu Aug 12 10:40:14 GMT 2021","53168","test","test_main","TestConduit","","","test__repeated_article_creation",""
"passed","Thu Aug 12 10:40:17 GMT 2021","Thu Aug 12 10:40:43 GMT 2021","26320","test","test_main","TestConduit","","","test__editing_article",""
"passed","Thu Aug 12 10:38:22 GMT 2021","Thu Aug 12 10:38:24 GMT 2021","2107","test","test_main","TestConduit","","","test__accepting_cookies",""
"passed","Thu Aug 12 10:41:37 GMT 2021","Thu Aug 12 10:41:52 GMT 2021","14647","test","test_main","TestConduit","","","test__list_articles",""
"passed","Thu Aug 12 10:40:45 GMT 2021","Thu Aug 12 10:41:10 GMT 2021","25229","test","test_main","TestConduit","","","test__delete_article",""
