"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 08:02:05 GMT 2021","Wed Aug 11 08:02:11 GMT 2021","5293","test","test_main","TestConduit","","","test__editing_article",""
"passed","Wed Aug 11 08:01:23 GMT 2021","Wed Aug 11 08:01:23 GMT 2021","35","test","test_main","TestConduit","","","test__page_load",""
"passed","Wed Aug 11 08:01:27 GMT 2021","Wed Aug 11 08:01:29 GMT 2021","2094","test","test_main","TestConduit","","","test__accepting_cookies",""
"passed","Wed Aug 11 08:01:31 GMT 2021","Wed Aug 11 08:01:43 GMT 2021","11167","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 08:02:52 GMT 2021","Wed Aug 11 08:02:58 GMT 2021","5284","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 08:01:46 GMT 2021","Wed Aug 11 08:01:52 GMT 2021","5286","test","test_main","TestConduit","","","test__login",""
"broken","Wed Aug 11 08:02:32 GMT 2021","Wed Aug 11 08:02:40 GMT 2021","7295","test","test_main","TestConduit","","","test__list_articles",""
"broken","Wed Aug 11 08:02:23 GMT 2021","Wed Aug 11 08:02:29 GMT 2021","5305","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 08:02:02 GMT 2021","Wed Aug 11 08:02:03 GMT 2021","167","test","test_main","TestConduit","","","test__repeated_article_creation",""
"broken","Wed Aug 11 08:02:14 GMT 2021","Wed Aug 11 08:02:20 GMT 2021","5280","test","test_main","TestConduit","","","test__delete_article",""
"broken","Wed Aug 11 08:01:54 GMT 2021","Wed Aug 11 08:02:00 GMT 2021","5296","test","test_main","TestConduit","","","test__create_article",""
"broken","Wed Aug 11 08:02:43 GMT 2021","Wed Aug 11 08:02:49 GMT 2021","5298","test","test_main","TestConduit","","","test__pagination",""
