"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 07:37:11 GMT 2021","Wed Aug 11 07:37:18 GMT 2021","7270","test","test_main","TestConduit","","","test__list_articles",""
"passed","Wed Aug 11 07:36:24 GMT 2021","Wed Aug 11 07:36:34 GMT 2021","10499","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 07:37:04 GMT 2021","Wed Aug 11 07:37:10 GMT 2021","5269","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 07:36:51 GMT 2021","Wed Aug 11 07:36:56 GMT 2021","5262","test","test_main","TestConduit","","","test__editing_article",""
"broken","Wed Aug 11 07:36:43 GMT 2021","Wed Aug 11 07:36:48 GMT 2021","5282","test","test_main","TestConduit","","","test__create_article",""
"passed","Wed Aug 11 07:36:20 GMT 2021","Wed Aug 11 07:36:20 GMT 2021","20","test","test_main","TestConduit","","","test__page_load",""
"broken","Wed Aug 11 07:36:57 GMT 2021","Wed Aug 11 07:37:03 GMT 2021","5269","test","test_main","TestConduit","","","test__delete_article",""
"broken","Wed Aug 11 07:36:50 GMT 2021","Wed Aug 11 07:36:50 GMT 2021","154","test","test_main","TestConduit","","","test__repeated_article_creation",""
"broken","Wed Aug 11 07:36:36 GMT 2021","Wed Aug 11 07:36:41 GMT 2021","5258","test","test_main","TestConduit","","","test__login",""
"broken","Wed Aug 11 07:37:26 GMT 2021","Wed Aug 11 07:37:31 GMT 2021","5262","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 07:37:19 GMT 2021","Wed Aug 11 07:37:24 GMT 2021","5266","test","test_main","TestConduit","","","test__pagination",""
"passed","Wed Aug 11 07:36:21 GMT 2021","Wed Aug 11 07:36:23 GMT 2021","2053","test","test_main","TestConduit","","","test__accepting_cookies",""
