"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 21:55:39 GMT 2021","Thu Aug 12 21:55:54 GMT 2021","14561","test","test_main","TestConduit","","","test__logout",""
"passed","Thu Aug 12 21:54:40 GMT 2021","Thu Aug 12 21:55:02 GMT 2021","21182","test","test_main","TestConduit","","","test__save_to_file",""
"passed","Thu Aug 12 21:54:12 GMT 2021","Thu Aug 12 21:54:37 GMT 2021","25300","test","test_main","TestConduit","","","test__delete_article",""
"passed","Thu Aug 12 21:53:43 GMT 2021","Thu Aug 12 21:54:09 GMT 2021","26346","test","test_main","TestConduit","","","test__editing_article",""
"passed","Thu Aug 12 21:51:46 GMT 2021","Thu Aug 12 21:51:46 GMT 2021","234","test","test_main","TestConduit","","","test__page_load",""
"passed","Thu Aug 12 21:52:48 GMT 2021","Thu Aug 12 21:53:41 GMT 2021","53124","test","test_main","TestConduit","","","test__repeated_article_creation",""
"passed","Thu Aug 12 21:51:54 GMT 2021","Thu Aug 12 21:52:08 GMT 2021","14313","test","test_main","TestConduit","","","test__registration",""
"passed","Thu Aug 12 21:52:11 GMT 2021","Thu Aug 12 21:52:22 GMT 2021","11486","test","test_main","TestConduit","","","test__login",""
"passed","Thu Aug 12 21:55:22 GMT 2021","Thu Aug 12 21:55:36 GMT 2021","14610","test","test_main","TestConduit","","","test__pagination",""
"passed","Thu Aug 12 21:55:04 GMT 2021","Thu Aug 12 21:55:19 GMT 2021","14453","test","test_main","TestConduit","","","test__list_articles",""
"passed","Thu Aug 12 21:51:49 GMT 2021","Thu Aug 12 21:51:51 GMT 2021","2111","test","test_main","TestConduit","","","test__accepting_cookies",""
"passed","Thu Aug 12 21:52:24 GMT 2021","Thu Aug 12 21:52:45 GMT 2021","20997","test","test_main","TestConduit","","","test__create_article",""
