"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 12:21:00 GMT 2021","Wed Aug 11 12:21:02 GMT 2021","2107","test","test_main","TestConduit","","","test__accepting_cookies",""
"passed","Wed Aug 11 12:21:15 GMT 2021","Wed Aug 11 12:21:23 GMT 2021","7402","test","test_main","TestConduit","","","test__login",""
"passed","Wed Aug 11 12:21:05 GMT 2021","Wed Aug 11 12:21:13 GMT 2021","7255","test","test_main","TestConduit","","","test__registration",""
"passed","Wed Aug 11 12:20:58 GMT 2021","Wed Aug 11 12:20:58 GMT 2021","91","test","test_main","TestConduit","","","test__page_load",""
