"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 08:49:51 GMT 2021","Wed Aug 11 08:50:05 GMT 2021","14481","test","test_main","TestConduit","","","test__delete_article",""
"broken","Wed Aug 11 08:49:27 GMT 2021","Wed Aug 11 08:49:31 GMT 2021","4209","test","test_main","TestConduit","","","test__repeated_article_creation",""
"passed","Wed Aug 11 08:48:28 GMT 2021","Wed Aug 11 08:48:28 GMT 2021","26","test","test_main","TestConduit","","","test__page_load",""
"broken","Wed Aug 11 08:50:08 GMT 2021","Wed Aug 11 08:50:22 GMT 2021","14495","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 08:48:49 GMT 2021","Wed Aug 11 08:49:07 GMT 2021","17494","test","test_main","TestConduit","","","test__login",""
"broken","Wed Aug 11 08:50:25 GMT 2021","Wed Aug 11 08:50:40 GMT 2021","14479","test","test_main","TestConduit","","","test__list_articles",""
"broken","Wed Aug 11 08:50:42 GMT 2021","Wed Aug 11 08:50:57 GMT 2021","14490","test","test_main","TestConduit","","","test__pagination",""
"passed","Wed Aug 11 08:48:34 GMT 2021","Wed Aug 11 08:48:47 GMT 2021","12680","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 08:49:34 GMT 2021","Wed Aug 11 08:49:48 GMT 2021","14485","test","test_main","TestConduit","","","test__editing_article",""
"broken","Wed Aug 11 08:50:59 GMT 2021","Wed Aug 11 08:51:14 GMT 2021","14483","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 08:49:10 GMT 2021","Wed Aug 11 08:49:24 GMT 2021","14490","test","test_main","TestConduit","","","test__create_article",""
"passed","Wed Aug 11 08:48:30 GMT 2021","Wed Aug 11 08:48:32 GMT 2021","2076","test","test_main","TestConduit","","","test__accepting_cookies",""
