"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 08:37:17 GMT 2021","Wed Aug 11 08:37:21 GMT 2021","4177","test","test_main","TestConduit","","","test__repeated_article_creation",""
"broken","Wed Aug 11 08:37:48 GMT 2021","Wed Aug 11 08:37:57 GMT 2021","9312","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 08:36:54 GMT 2021","Wed Aug 11 08:37:03 GMT 2021","9320","test","test_main","TestConduit","","","test__login",""
"passed","Wed Aug 11 08:36:36 GMT 2021","Wed Aug 11 08:36:38 GMT 2021","2073","test","test_main","TestConduit","","","test__accepting_cookies",""
"passed","Wed Aug 11 08:36:40 GMT 2021","Wed Aug 11 08:36:52 GMT 2021","12526","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 08:38:00 GMT 2021","Wed Aug 11 08:38:09 GMT 2021","9324","test","test_main","TestConduit","","","test__list_articles",""
"broken","Wed Aug 11 08:37:36 GMT 2021","Wed Aug 11 08:37:45 GMT 2021","9313","test","test_main","TestConduit","","","test__delete_article",""
"broken","Wed Aug 11 08:38:12 GMT 2021","Wed Aug 11 08:38:22 GMT 2021","9319","test","test_main","TestConduit","","","test__pagination",""
"broken","Wed Aug 11 08:38:24 GMT 2021","Wed Aug 11 08:38:34 GMT 2021","9329","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 08:37:05 GMT 2021","Wed Aug 11 08:37:14 GMT 2021","9314","test","test_main","TestConduit","","","test__create_article",""
"broken","Wed Aug 11 08:37:24 GMT 2021","Wed Aug 11 08:37:33 GMT 2021","9323","test","test_main","TestConduit","","","test__editing_article",""
"passed","Wed Aug 11 08:36:34 GMT 2021","Wed Aug 11 08:36:34 GMT 2021","25","test","test_main","TestConduit","","","test__page_load",""
