"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 07:20:25 GMT 2021","Wed Aug 11 07:20:25 GMT 2021","0","test","test_main","TestConduit","","","test__save_to_file",""
"broken","Wed Aug 11 07:20:21 GMT 2021","Wed Aug 11 07:20:21 GMT 2021","0","test","test_main","TestConduit","","","test__repeated_article_creation",""
"broken","Wed Aug 11 07:20:29 GMT 2021","Wed Aug 11 07:20:29 GMT 2021","0","test","test_main","TestConduit","","","test__logout",""
"broken","Wed Aug 11 07:20:03 GMT 2021","Wed Aug 11 07:20:03 GMT 2021","0","test","test_main","TestConduit","","","test__page_load",""
"broken","Wed Aug 11 07:20:17 GMT 2021","Wed Aug 11 07:20:17 GMT 2021","0","test","test_main","TestConduit","","","test__registration",""
"broken","Wed Aug 11 07:20:23 GMT 2021","Wed Aug 11 07:20:23 GMT 2021","0","test","test_main","TestConduit","","","test__delete_article",""
"broken","Wed Aug 11 07:20:16 GMT 2021","Wed Aug 11 07:20:16 GMT 2021","0","test","test_main","TestConduit","","","test__accepting_cookies",""
"broken","Wed Aug 11 07:20:27 GMT 2021","Wed Aug 11 07:20:27 GMT 2021","0","test","test_main","TestConduit","","","test__pagination",""
"broken","Wed Aug 11 07:20:18 GMT 2021","Wed Aug 11 07:20:18 GMT 2021","0","test","test_main","TestConduit","","","test__login",""
"broken","Wed Aug 11 07:20:20 GMT 2021","Wed Aug 11 07:20:20 GMT 2021","0","test","test_main","TestConduit","","","test__create_article",""
"broken","Wed Aug 11 07:20:26 GMT 2021","Wed Aug 11 07:20:26 GMT 2021","0","test","test_main","TestConduit","","","test__list_articles",""
"broken","Wed Aug 11 07:20:22 GMT 2021","Wed Aug 11 07:20:22 GMT 2021","0","test","test_main","TestConduit","","","test__editing_article",""
